Frame,Current_Loudness,Baseline_Loudness,Delta_Loudness,Baseline_Loudness_Deviation,Loudness_Category
199,-6.0099387,-6.010744094848633,0.00080537796,0.0014619827270507812,No Significant Change
200,-6.011404,-6.010704040527344,-0.00069999695,0.0014291524421423674,No Significant Change
201,-6.01,-6.010738849639893,0.00073862076,0.0013926946558058262,No Significant Change
202,-6.0113373,-6.010701656341553,-0.00063562393,0.0013599909143522382,No Significant Change
203,-6.0100965,-6.010733127593994,0.0006365776,0.0013237724779173732,No Significant Change
204,-6.011244,-6.0107011795043945,-0.0005426407,0.001289412728510797,No Significant Change
205,-6.0101614,-6.010728359222412,0.0005669594,0.0012520740274339914,No Significant Change
206,-6.011177,-6.01069974899292,-0.000477314,0.0012178182369098067,No Significant Change
207,-6.0102644,-6.01072359085083,0.00045919418,0.001180793042294681,No Significant Change
208,-6.0110855,-6.010700702667236,-0.0003848076,0.0011447130236774683,No Significant Change
209,-6.010334,-6.0107197761535645,0.00038576126,0.0011067178566008806,No Significant Change
210,-6.011015,-6.010700225830078,-0.00031471252,0.001070669968612492,No Significant Change
211,-6.0104246,-6.010715961456299,0.0002913475,0.001032872125506401,No Significant Change
212,-6.0109158,-6.010701656341553,-0.00021409988,0.001,No Significant Change
213,-6.0104947,-6.010712146759033,0.00021743774,0.001,No Significant Change
214,-6.0108447,-6.0107011795043945,-0.00014352798,0.001,No Significant Change
215,-6.0105934,-6.010708332061768,0.000114917755,0.001,No Significant Change
216,-6.0107465,-6.010702610015869,-4.386902e-05,0.001,No Significant Change
217,-6.010661,-6.010704517364502,4.339218e-05,0.001,No Significant Change
218,-6.0106716,-6.010702133178711,3.0517578e-05,0.001,No Significant Change
219,-6.0107536,-6.010700702667236,-5.2928925e-05,0.001,No Significant Change
220,-6.0105667,-6.010703086853027,0.00013637543,0.001,No Significant Change
221,-6.0108156,-6.0106964111328125,-0.00011920929,0.001,No Significant Change
222,-6.0104866,-6.010702610015869,0.00021600723,0.001,No Significant Change
223,-6.0109053,-6.0106916427612305,-0.00021362305,0.001,No Significant Change
224,-6.010389,-6.010702133178711,0.000313282,0.001,No Significant Change
225,-6.0109735,-6.01068639755249,-0.00028705597,0.001,No Significant Change
226,-6.0103087,-6.010700702667236,0.00039196014,0.001,No Significant Change
227,-6.011059,-6.01068115234375,-0.00037765503,0.001,No Significant Change
228,-6.0102053,-6.01069974899292,0.00049448013,0.001,No Significant Change
229,-6.0111217,-6.010674953460693,-0.00044679642,0.001,No Significant Change
230,-6.0101347,-6.010697364807129,0.00056266785,0.001,No Significant Change
231,-6.011214,-6.010669231414795,-0.00054454803,0.001,No Significant Change
232,-6.010039,-6.0106964111328125,0.00065755844,0.001,No Significant Change
233,-6.011288,-6.0106635093688965,-0.0006246567,0.001,No Significant Change
234,-6.009984,-6.01069450378418,0.00071048737,0.001,No Significant Change
235,-6.0113864,-6.010659217834473,-0.00072717667,0.001,No Significant Change
236,-6.0098953,-6.010695934295654,0.0008006096,0.001,No Significant Change
237,-6.011453,-6.010655879974365,-0.0007972717,0.001,No Significant Change
238,-6.0098333,-6.010695934295654,0.0008625984,0.001,No Significant Change
239,-6.0115457,-6.010653018951416,-0.00089263916,0.001,No Significant Change
240,-6.009746,-6.010697364807129,0.00095129013,0.001,No Significant Change
241,-6.0116076,-6.010650157928467,-0.000957489,0.001,No Significant Change
242,-6.0096874,-6.010698318481445,0.0010108948,0.001,No Significant Change
243,-6.0116906,-6.010647773742676,-0.0010428429,0.0010005447547882795,No Significant Change
244,-6.0095973,-6.01069974899292,0.0011024475,0.0010026596719399095,No Significant Change
245,-6.0117493,-6.010644435882568,-0.0011048317,0.00100764911621809,No Significant Change
246,-6.0095387,-6.01069974899292,0.0011610985,0.0010125082917511463,No Significant Change
247,-6.011821,-6.010641574859619,-0.0011792183,0.0010199378011748195,No Significant Change
248,-6.0094476,-6.010700702667236,0.001253128,0.001027901773341,No Significant Change
249,-6.011881,-6.0106377601623535,-0.0012431145,0.0010391630930826068,No Significant Change
250,-6.0094028,-6.01069974899292,0.0012969971,0.0010493607260286808,No Significant Change
251,-6.0119534,-6.010634899139404,-0.0013184547,0.0010617425432428718,No Significant Change
252,-6.0093217,-6.010700702667236,0.0013790131,0.0010745781473815441,No Significant Change
253,-6.012008,-6.010631561279297,-0.0013766289,0.0010897999163717031,No Significant Change
254,-6.0092764,-6.010700702667236,0.0014243126,0.001104141352698207,No Significant Change
255,-6.0120754,-6.010629177093506,-0.0014462471,0.0011201499728485942,No Significant Change
256,-6.009202,-6.010701656341553,0.0014996529,0.0011364547535777092,No Significant Change
257,-6.012125,-6.010626792907715,-0.0014982224,0.0011546146124601364,No Significant Change
258,-6.0091634,-6.010701656341553,0.0015382767,0.0011717950692400336,No Significant Change
259,-6.012186,-6.010624408721924,-0.0015616417,0.0011901191901415586,No Significant Change
260,-6.009093,-6.010702133178711,0.0016093254,0.001208695350214839,No Significant Change
261,-6.0122294,-6.010621547698975,-0.0016078949,0.0012287268182262778,No Significant Change
262,-6.009054,-6.010702133178711,0.0016479492,0.0012476852862164378,No Significant Change
263,-6.0122824,-6.010619640350342,-0.0016627312,0.0012676984770223498,No Significant Change
264,-6.0089912,-6.010703086853027,0.0017118454,0.0012874501990154386,No Significant Change
265,-6.012323,-6.010617256164551,-0.0017056465,0.001308669918216765,No Significant Change
266,-6.0089626,-6.010702610015869,0.0017399788,0.0013285188470035791,No Significant Change
267,-6.0123706,-6.010615348815918,-0.0017552376,0.0013490918790921569,No Significant Change
268,-6.008898,-6.010703086853027,0.0018053055,0.0013693991350010037,No Significant Change
269,-6.012398,-6.010612964630127,-0.0017848015,0.0013911945279687643,No Significant Change
270,-6.0088797,-6.010702610015869,0.0018229485,0.0014108747709542513,No Significant Change
271,-6.0124474,-6.010611534118652,-0.0018358231,0.0014314784202724695,No Significant Change
272,-6.008834,-6.0107035636901855,0.0018696785,0.0014516956871375442,No Significant Change
273,-6.0124807,-6.010610103607178,-0.0018706322,0.0014725947985425591,No Significant Change
274,-6.0088215,-6.0107035636901855,0.0018820763,0.0014924965798854828,No Significant Change
